task_id	name	status	exit	realtime	%cpu	rss
1	RETROSPECTIVE:PREPARE_RETROSPECTIVE_SIMULATION (merck_2016.screen)	CACHED	0	2m 43s	100.9%	1.4 GB
2	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:TRAIN_MODEL (merck_2016.screen)	CACHED	0	10m 41s	100.4%	746.6 MB
3	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:TRAIN_MODEL (merck_2016.screen)	CACHED	0	10m 34s	100.3%	747.6 MB
4	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:EVALUATE_MODEL (merck_2016.screen)	CACHED	0	1m 7s	101.8%	1.9 GB
8	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 47s	100.8%	374.6 MB
5	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 46s	100.8%	374.3 MB
6	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 47s	100.8%	374.6 MB
7	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 45s	100.8%	374.3 MB
10	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 44s	100.8%	374.1 MB
11	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 43s	100.8%	373.9 MB
9	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 45s	100.8%	374.3 MB
12	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 43s	100.8%	374.7 MB
14	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:ANALYZE_MODEL_EVALUATION (merck_2016.screen)	CACHED	0	1m 47s	241.4%	1.3 GB
13	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 42s	100.8%	374.5 MB
16	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 43s	100.8%	373.9 MB
17	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 41s	100.7%	371.9 MB
15	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 42s	100.7%	374.3 MB
20	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 49s	100.7%	374.3 MB
18	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 52s	100.7%	374.4 MB
21	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 45s	100.8%	373.8 MB
19	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 48s	100.8%	373.8 MB
22	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 46s	100.8%	374.2 MB
23	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 46s	100.8%	373.9 MB
26	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 45s	100.7%	374.4 MB
27	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 48s	100.8%	375.1 MB
28	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 44s	100.8%	374.4 MB
25	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 45s	100.8%	374 MB
24	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 43s	100.8%	374.9 MB
29	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 46s	100.8%	374.4 MB
30	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 46s	100.8%	374.3 MB
32	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 43s	100.7%	374.1 MB
31	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 41s	100.7%	372.9 MB
37	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 45s	100.7%	374.4 MB
38	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 48s	100.8%	374 MB
35	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 49s	100.8%	374.2 MB
36	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 48s	100.8%	374.1 MB
33	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 42s	100.8%	373.9 MB
34	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 42s	100.8%	374.5 MB
39	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 48s	100.8%	374.4 MB
40	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 46s	100.8%	374.1 MB
41	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 46s	100.8%	374.4 MB
43	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 47s	100.8%	374.3 MB
42	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 46s	100.8%	366.1 MB
44	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	4m 24s	100.7%	375.2 MB
48	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 44s	100.8%	374.6 MB
47	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 43s	100.8%	374.3 MB
45	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 44s	100.7%	373.8 MB
46	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 44s	100.7%	374.8 MB
52	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 43s	100.8%	373.9 MB
51	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 47s	100.7%	374.8 MB
49	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 42s	100.8%	374.2 MB
50	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 47s	100.7%	374.3 MB
53	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 47s	100.7%	374.3 MB
54	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 45s	100.7%	374.1 MB
55	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_DISTANCE_MATRIX_CHUNK (merck_2016.screen)	CACHED	0	3m 45s	100.7%	374.1 MB
63	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_SCORE_CHUNK (merck_2016.screen)	CACHED	0	5m 24s	100.5%	962.7 MB
62	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_SCORE_CHUNK (merck_2016.screen)	CACHED	0	5m 24s	100.4%	2.2 GB
58	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_SCORE_CHUNK (merck_2016.screen)	CACHED	0	5m 24s	100.5%	1.6 GB
57	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_SCORE_CHUNK (merck_2016.screen)	CACHED	0	5m 25s	100.5%	1.9 GB
61	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_SCORE_CHUNK (merck_2016.screen)	CACHED	0	5m 26s	100.5%	975.1 MB
60	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_SCORE_CHUNK (merck_2016.screen)	CACHED	0	5m 21s	100.5%	968.6 MB
59	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_SCORE_CHUNK (merck_2016.screen)	CACHED	0	5m 20s	100.5%	974.8 MB
56	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_SCORE_CHUNK (merck_2016.screen)	CACHED	0	5m 26s	100.5%	974.8 MB
64	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_SCORE_CHUNK (merck_2016.screen)	CACHED	0	5m 21s	100.5%	969.6 MB
67	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_SCORE_CHUNK (merck_2016.screen)	CACHED	0	5m 20s	100.5%	1 GB
70	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_SCORE_CHUNK (merck_2016.screen)	CACHED	0	5m 25s	100.5%	1.3 GB
69	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_SCORE_CHUNK (merck_2016.screen)	CACHED	0	5m 21s	100.5%	971.2 MB
68	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_SCORE_CHUNK (merck_2016.screen)	CACHED	0	5m 25s	100.5%	974.9 MB
66	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_SCORE_CHUNK (merck_2016.screen)	CACHED	0	5m 24s	100.5%	1.7 GB
65	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_SCORE_CHUNK (merck_2016.screen)	CACHED	0	5m 20s	100.5%	993.6 MB
71	RETROSPECTIVE:RUN_RETROSPECTIVE_STEP:CALCULATE_SCORE_CHUNK (merck_2016.screen)	CACHED	0	5m 22s	100.5%	970.9 MB
